"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 07:42:45 GMT 2024","Thu May 16 07:42:47 GMT 2024","1599","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Eloquent JavaScript, Second Edition",""
"passed","Thu May 16 07:42:19 GMT 2024","Thu May 16 07:42:22 GMT 2024","2314","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка названия замоканой книги",""
"passed","Thu May 16 07:42:39 GMT 2024","Thu May 16 07:42:41 GMT 2024","2590","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Speaking JavaScript",""
"passed","Thu May 16 07:42:16 GMT 2024","Thu May 16 07:42:19 GMT 2024","2909","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка что кнопка логина существует",""
"passed","Thu May 16 07:42:10 GMT 2024","Thu May 16 07:42:14 GMT 2024","3566","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация",""
"failed","Thu May 16 07:42:31 GMT 2024","Thu May 16 07:42:44 GMT 2024","13078","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация номер два",""
"passed","Thu May 16 07:42:44 GMT 2024","Thu May 16 07:42:45 GMT 2024","1521","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Programming JavaScript Applications",""
"passed","Thu May 16 07:42:47 GMT 2024","Thu May 16 07:42:49 GMT 2024","1705","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Understanding ECMAScript 6",""
"passed","Thu May 16 07:42:14 GMT 2024","Thu May 16 07:42:16 GMT 2024","2737","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Не корректный логин",""
"failed","Thu May 16 07:42:32 GMT 2024","Thu May 16 07:42:32 GMT 2024","24","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Зафейленый тест",""
"skipped","Thu May 16 07:42:10 GMT 2024","Thu May 16 07:42:10 GMT 2024","1","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка, что мы на странице логина",""
"passed","Thu May 16 07:42:37 GMT 2024","Thu May 16 07:42:39 GMT 2024","1676","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Designing Evolvable Web APIs with ASP.NET",""
"passed","Thu May 16 07:42:41 GMT 2024","Thu May 16 07:42:44 GMT 2024","2365","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: You Don't Know JS",""
"passed","Thu May 16 07:42:35 GMT 2024","Thu May 16 07:42:37 GMT 2024","1892","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Learning JavaScript Design Patterns",""
"failed","Thu May 16 07:42:28 GMT 2024","Thu May 16 07:42:30 GMT 2024","2414","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка открытия новой вкладки",""
"passed","Thu May 16 07:42:33 GMT 2024","Thu May 16 07:42:35 GMT 2024","2387","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Git Pocket Guide",""
