"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 25 11:43:29 GMT 2024","Tue Jun 25 11:43:29 GMT 2024","1","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка, что мы на странице логина",""
"passed","Tue Jun 25 11:43:58 GMT 2024","Tue Jun 25 11:44:05 GMT 2024","7383","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Eloquent JavaScript, Second Edition",""
"passed","Tue Jun 25 11:43:51 GMT 2024","Tue Jun 25 11:43:57 GMT 2024","5896","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Git Pocket Guide",""
"passed","Tue Jun 25 11:43:29 GMT 2024","Tue Jun 25 11:43:37 GMT 2024","8026","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация номер два",""
"passed","Tue Jun 25 11:44:09 GMT 2024","Tue Jun 25 11:44:11 GMT 2024","2560","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Speaking JavaScript",""
"passed","Tue Jun 25 11:43:46 GMT 2024","Tue Jun 25 11:43:51 GMT 2024","4888","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка открытия новой вкладки",""
"passed","Tue Jun 25 11:43:36 GMT 2024","Tue Jun 25 11:43:42 GMT 2024","6486","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Не корректный логин",""
"passed","Tue Jun 25 11:43:42 GMT 2024","Tue Jun 25 11:43:46 GMT 2024","3824","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка названия замоканой книги",""
"passed","Tue Jun 25 11:44:04 GMT 2024","Tue Jun 25 11:44:09 GMT 2024","4922","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Designing Evolvable Web APIs with ASP.NET",""
"failed","Tue Jun 25 11:43:50 GMT 2024","Tue Jun 25 11:43:50 GMT 2024","61","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Зафейленый тест",""
"passed","Tue Jun 25 11:43:37 GMT 2024","Tue Jun 25 11:43:48 GMT 2024","10700","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка что кнопка логина существует",""
"passed","Tue Jun 25 11:43:29 GMT 2024","Tue Jun 25 11:43:36 GMT 2024","6444","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация",""
"passed","Tue Jun 25 11:43:51 GMT 2024","Tue Jun 25 11:43:54 GMT 2024","3230","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: You Don't Know JS",""
"passed","Tue Jun 25 11:43:57 GMT 2024","Tue Jun 25 11:44:04 GMT 2024","7173","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Learning JavaScript Design Patterns",""
"passed","Tue Jun 25 11:43:54 GMT 2024","Tue Jun 25 11:43:58 GMT 2024","3393","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Programming JavaScript Applications",""
"passed","Tue Jun 25 11:44:05 GMT 2024","Tue Jun 25 11:44:08 GMT 2024","2891","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Understanding ECMAScript 6",""
