"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 21:37:37 GMT 2024","Wed May 15 21:37:37 GMT 2024","382","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Eloquent JavaScript, Second Edition",""
"skipped","Wed May 15 21:35:53 GMT 2024","Wed May 15 21:35:53 GMT 2024","1","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка, что мы на странице логина",""
"broken","Wed May 15 21:36:58 GMT 2024","Wed May 15 21:37:28 GMT 2024","30287","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация",""
"failed","Wed May 15 21:37:35 GMT 2024","Wed May 15 21:37:35 GMT 2024","38","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Зафейленый тест",""
"passed","Wed May 15 21:37:32 GMT 2024","Wed May 15 21:37:34 GMT 2024","1875","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка названия замоканой книги",""
"passed","Wed May 15 21:37:29 GMT 2024","Wed May 15 21:37:33 GMT 2024","3804","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Не корректный логин",""
"passed","Wed May 15 21:37:37 GMT 2024","Wed May 15 21:37:37 GMT 2024","372","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Learning JavaScript Design Patterns",""
"broken","Wed May 15 21:36:58 GMT 2024","Wed May 15 21:37:28 GMT 2024","30281","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация номер два",""
"passed","Wed May 15 21:37:37 GMT 2024","Wed May 15 21:37:37 GMT 2024","404","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Designing Evolvable Web APIs with ASP.NET",""
"passed","Wed May 15 21:37:37 GMT 2024","Wed May 15 21:37:38 GMT 2024","466","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Understanding ECMAScript 6",""
"passed","Wed May 15 21:37:29 GMT 2024","Wed May 15 21:37:32 GMT 2024","2853","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка что кнопка логина существует",""
"passed","Wed May 15 21:37:36 GMT 2024","Wed May 15 21:37:36 GMT 2024","408","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: You Don't Know JS",""
"passed","Wed May 15 21:37:37 GMT 2024","Wed May 15 21:37:38 GMT 2024","447","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Speaking JavaScript",""
"passed","Wed May 15 21:37:33 GMT 2024","Wed May 15 21:37:36 GMT 2024","3263","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка открытия новой вкладки",""
"passed","Wed May 15 21:37:36 GMT 2024","Wed May 15 21:37:37 GMT 2024","671","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Git Pocket Guide",""
"passed","Wed May 15 21:37:36 GMT 2024","Wed May 15 21:37:37 GMT 2024","384","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Programming JavaScript Applications",""
