"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 10:58:04 GMT 2024","Thu May 16 10:58:12 GMT 2024","7882","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Eloquent JavaScript, Second Edition",""
"passed","Thu May 16 10:57:58 GMT 2024","Thu May 16 10:58:05 GMT 2024","6297","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Designing Evolvable Web APIs with ASP.NET",""
"passed","Thu May 16 10:57:38 GMT 2024","Thu May 16 10:57:41 GMT 2024","2332","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка названия замоканой книги",""
"passed","Thu May 16 10:57:41 GMT 2024","Thu May 16 10:57:44 GMT 2024","3733","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка открытия новой вкладки",""
"passed","Thu May 16 10:57:32 GMT 2024","Thu May 16 10:57:38 GMT 2024","6009","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка что кнопка логина существует",""
"passed","Thu May 16 10:57:54 GMT 2024","Thu May 16 10:57:58 GMT 2024","4153","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Learning JavaScript Design Patterns",""
"passed","Thu May 16 10:58:12 GMT 2024","Thu May 16 10:58:17 GMT 2024","5159","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Understanding ECMAScript 6",""
"failed","Thu May 16 10:57:43 GMT 2024","Thu May 16 10:57:56 GMT 2024","12324","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация номер два",""
"skipped","Thu May 16 10:57:16 GMT 2024","Thu May 16 10:57:16 GMT 2024","1","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Проверка, что мы на странице логина",""
"passed","Thu May 16 10:57:56 GMT 2024","Thu May 16 10:58:00 GMT 2024","3791","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: You Don't Know JS",""
"failed","Thu May 16 10:57:46 GMT 2024","Thu May 16 10:57:46 GMT 2024","36","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Зафейленый тест",""
"passed","Thu May 16 10:57:17 GMT 2024","Thu May 16 10:57:25 GMT 2024","8485","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Позитивная авторизация",""
"passed","Thu May 16 10:58:05 GMT 2024","Thu May 16 10:58:09 GMT 2024","4381","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Speaking JavaScript",""
"passed","Thu May 16 10:57:46 GMT 2024","Thu May 16 10:57:54 GMT 2024","7835","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Git Pocket Guide",""
"passed","Thu May 16 10:58:00 GMT 2024","Thu May 16 10:58:04 GMT 2024","3623","chromium","demoqa.spec.ts","Параметризированные тесты для проверки названий книг","","","Проверка названия книги: Programming JavaScript Applications",""
"passed","Thu May 16 10:57:25 GMT 2024","Thu May 16 10:57:32 GMT 2024","7150","chromium","demoqa.spec.ts","Тесты на demoqa.com","","","Не корректный логин",""
